Survived,Sex,Age,Fare,Mr,Mss,Mrs,Master,Rare,FamilySize1,FamilySize>1,EmbarkedS,EmbarkedC,EmbarkedQ,Pclass1,Pclass2,Pclass3
1,0,0.4,0.04025,1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0.275,0.6781665,1,0,0,0,0,1,0,0,1,0,1,0,0
1,1,0.2625,0.0775,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,0.525,0.042020999999999996,1,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0.4,0.0525,1,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0.2875,0.0575,1,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0.35,0.039271,1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0.375,0.0,1,0,0,0,0,1,0,1,0,0,0,1,0
1,0,0.25,0.0787085,1,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0.5,0.13949999999999999,1,0,0,0,0,0,1,1,0,0,0,0,1
0,0,0.5,0.13275,1,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0.2375,0.04025,1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0.375,0.065,1,0,0,0,0,1,0,1,0,0,0,1,0
1,1,0.3,0.3465,0,0,1,0,0,1,0,0,1,0,1,0,0
1,1,0.175,0.6,0,0,0,0,0,0,0,1,0,0,1,0,0
1,0,0.3125,0.455396,1,0,0,0,0,0,0,0,1,0,1,0,0
0,0,0.2375,0.039479,1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0.4625,0.2655,1,0,0,0,0,0,0,1,0,0,1,0,0
0,1,0.625,0.14356249999999998,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0.5875,0.03625,1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0.5,0.0,1,0,0,0,0,1,0,1,0,0,1,0,0
1,1,0.4125,0.4325,0,0,0,0,1,1,0,1,0,0,1,0,0
1,1,0.625,0.0525,0,0,0,0,0,1,0,1,0,0,0,1,0
1,0,0.5,0.155,1,0,0,0,0,1,0,0,1,0,1,0,0
1,0,0.45,0.13193749999999999,1,0,0,0,0,1,0,1,0,0,1,0,0
0,0,0.6375,0.03875,1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0.3125,0.065,1,0,0,0,0,1,0,1,0,0,0,1,0
1,0,0.3375,0.0433125,1,0,0,0,0,1,0,1,0,0,0,0,1
1,1,0.45,0.087,0,0,1,0,0,0,0,1,0,0,0,0,1
1,1,0.45,0.13,0,0,1,0,0,0,0,1,0,0,0,1,0
0,0,0.2625,0.03625,1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0.2375,0.065,1,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0.775,0.13275,1,0,0,0,0,1,0,1,0,0,1,0,0
0,0,0.3125,0.0387085,1,0,0,0,0,1,0,0,0,1,0,0,1
0,0,0.3125,0.039479,1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0.325,0.0525,1,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0.275,0.036146,1,0,0,0,0,1,0,0,1,0,0,0,1
0,0,0.25,0.039625,1,0,0,0,0,1,0,1,0,0,0,0,1
1,1,0.475,0.4,0,0,0,0,0,1,0,1,0,0,1,0,0
0,0,0.0875,0.1984375,0,0,0,1,0,0,1,1,0,0,0,0,1
0,0,0.425,0.0321875,1,0,0,0,0,1,0,0,1,0,0,0,1
0,0,0.55,0.0805,1,0,0,0,0,0,0,1,0,0,0,0,1
0,1,0.0375,0.105375,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0.225,0.038979,1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0.1125,0.2345,0,0,0,1,0,0,1,1,0,0,0,0,1
0,0,0.5,1.108896,1,0,0,0,0,1,0,1,0,0,1,0,0
0,1,0.1125,0.13949999999999999,0,0,0,0,0,0,1,1,0,0,0,0,1
1,0,0.6,0.38364600000000004,1,0,0,0,0,0,0,0,1,0,1,0,0
0,0,0.2875,0.039479,1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0.6375,0.035271,1,0,0,0,0,1,0,1,0,0,0,0,1
1,1,0.525,1.137625,0,0,0,0,0,1,0,0,1,0,1,0,0
1,0,0.5625,0.04025,1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0.3,0.12075,1,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0.375,0.0,1,0,0,0,0,1,0,1,0,0,0,1,0
1,1,0.2625,0.039396,0,0,0,0,0,1,0,0,0,1,0,0,1
0,0,0.3,0.037479,1,0,0,0,0,1,0,1,0,0,0,0,1
1,1,0.5625,0.0675,0,0,1,0,0,1,0,1,0,0,0,1,0
0,0,0.475,0.0433125,1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0.525,0.0433125,1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0.25,0.0200625,1,0,0,0,0,1,0,0,1,0,0,0,1
0,0,0.325,0.038875,1,0,0,0,0,1,0,1,0,0,0,0,1
1,1,0.2625,1.311875,0,0,0,0,0,0,0,0,1,0,1,0,0
1,0,0.3625,0.0475,1,0,0,0,0,1,0,1,0,0,0,0,1
1,1,0.225,1.137625,0,0,1,0,0,0,0,0,1,0,1,0,0
0,0,0.4875,0.13,1,0,0,0,0,1,0,1,0,0,0,1,0
1,1,0.2625,0.0805,0,0,1,0,0,0,0,1,0,0,0,0,1
1,1,0.4125,0.07925,0,0,1,0,0,0,0,1,0,0,0,0,1
1,1,0.275,0.275,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0.6875,0.1525,1,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0.3125,0.036146,1,0,0,0,0,1,0,0,1,0,0,0,1
0,0,0.4375,0.03525,1,0,0,0,0,1,0,1,0,0,0,0,1
1,1,0.7875,0.0479375,0,0,1,0,0,1,0,1,0,0,0,0,1
0,0,0.3625,0.15,1,0,0,0,0,1,0,1,0,0,1,0,0
1,1,0.375,0.155,0,0,0,0,0,1,0,0,1,0,1,0,0
1,1,0.2375,0.039396,0,0,0,0,0,1,0,0,0,1,0,0,1
0,0,0.3125,0.0775,1,0,0,0,0,0,0,0,0,1,0,0,1
0,0,0.5625,0.036125,1,0,0,0,0,1,0,0,1,0,0,0,1
1,0,0.0375,0.0795,0,0,0,1,0,0,0,1,0,0,0,0,1
0,0,0.425,0.032479,1,0,0,0,0,1,0,1,0,0,0,0,1
1,0,0.45,0.1314375,1,0,0,0,0,1,0,1,0,0,1,0,0
0,0,0.375,0.0805,1,0,0,0,0,0,0,1,0,0,0,0,1
1,1,0.2625,0.036146,0,0,1,0,0,1,0,0,1,0,0,0,1
1,0,0.0,0.75775,0,0,0,1,0,0,0,1,0,0,1,0,0
0,1,0.2625,0.34775,0,0,0,0,0,0,1,1,0,0,0,0,1
0,0,0.35,0.410854,1,0,0,0,0,0,0,0,1,0,1,0,0
1,1,0.375,0.4325,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0.4,0.1525,0,0,0,0,1,1,0,0,1,0,1,0,0
1,1,0.4375,2.561646,0,0,0,0,0,1,0,0,1,0,1,0,0
1,1,0.2625,0.03875,0,0,0,0,0,1,0,0,0,1,0,0,1
1,1,0.425,0.115,0,0,1,0,0,0,0,1,0,0,0,1,0
0,0,0.3125,0.04025,1,0,0,0,0,1,0,1,0,0,0,0,1
1,0,0.35,0.1775,1,0,0,0,0,1,0,1,0,0,1,0,0
0,0,0.4,0.0418125,1,0,0,0,0,1,0,1,0,0,0,0,1
1,1,0.6,0.129646,0,0,1,0,0,1,0,1,0,0,1,0,0
0,0,0.4125,0.0475,1,0,0,0,0,1,0,1,0,0,0,0,1
1,1,0.05,0.08349999999999999,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0.2375,0.0525,1,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0.5875,0.26,1,0,0,0,0,1,0,1,0,0,1,0,0
0,1,0.1375,0.156375,0,0,0,0,0,0,1,1,0,0,0,0,1
0,0,0.3625,0.035228999999999996,1,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0.2625,0.3675,1,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0.2875,0.039271,1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0.5,0.175,1,0,0,0,0,1,0,1,0,0,1,0,0
0,0,0.3,1.2376040000000001,1,0,0,0,0,0,0,0,1,0,1,0,0
1,0,0.3375,0.2655,1,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0.3875,0.13125,1,0,0,0,0,0,0,1,0,0,0,1,0
0,1,0.5375,0.2345,0,0,1,0,0,0,1,1,0,0,0,0,1
0,1,0.025,0.13949999999999999,0,0,0,0,0,0,1,1,0,0,0,0,1
0,0,0.3125,0.03875,1,0,0,0,0,1,0,0,0,1,0,0,1
1,1,0.375,0.062375,0,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0.225,0.0575,1,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0.2625,0.04025,1,0,0,0,0,1,0,1,0,0,0,0,1
1,1,0.2625,0.0386875,0,0,0,0,0,1,0,0,0,1,0,0,1
0,0,0.3125,0.03475,1,0,0,0,0,1,0,0,0,1,0,0,1
0,0,0.6125,0.5544165,1,0,0,0,0,0,0,0,1,0,1,0,0
0,1,0.2625,0.34775,0,0,0,0,0,0,1,1,0,0,0,0,1
1,1,0.5625,0.13125,0,0,1,0,0,0,0,1,0,0,0,1,0
1,0,0.45,0.6,1,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0.3125,0.039479,1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0.6,0.065,1,0,0,0,0,1,0,1,0,0,0,1,0
1,1,0.4125,0.13875,0,0,1,0,0,0,0,1,0,0,0,1,0
1,1,0.2625,0.03875,0,0,0,0,0,1,0,0,0,1,0,0,1
0,0,0.3,0.396,1,0,0,0,0,1,0,0,1,0,1,0,0
1,1,0.425,0.1625,0,0,1,0,0,0,0,1,0,0,0,1,0
1,0,0.55,0.039625,1,0,0,0,0,1,0,1,0,0,0,0,1
1,0,0.4,0.039271,1,0,0,0,0,1,0,1,0,0,0,0,1
0,1,0.225,0.03375,0,0,0,0,0,1,0,0,0,1,0,0,1
0,0,0.25,0.0475,1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0.275,0.04025,1,0,0,0,0,1,0,1,0,0,0,0,1
0,1,0.6,0.171875,0,0,1,0,0,0,0,1,0,0,0,0,1
0,1,0.35,0.039479,0,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0.3625,0.138604,1,0,0,0,0,0,0,0,1,0,0,1,0
0,0,0.3125,0.039479,1,0,0,0,0,1,0,1,0,0,0,0,1
1,1,0.3125,0.13,0,0,1,0,0,0,0,1,0,0,0,1,0
1,1,0.1875,0.040145999999999994,0,0,0,0,0,1,0,0,0,1,0,0,1
0,1,0.3375,0.105,0,0,1,0,0,0,0,1,0,0,0,1,0
1,1,0.2875,0.0689585,0,0,1,0,0,1,0,0,1,0,0,1,0
1,0,0.25,0.036146,1,0,0,0,0,1,0,0,1,0,0,0,1
1,0,0.3125,0.038875,1,0,0,0,0,1,0,1,0,0,0,0,1
1,0,0.275,0.036125,1,0,0,0,0,1,0,0,1,0,0,0,1
0,0,0.5,0.26,1,0,0,0,0,1,0,1,0,0,1,0,0
1,1,0.45,0.065,0,0,0,0,0,1,0,1,0,0,0,1,0
0,1,0.1125,0.156375,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1,0.5125,0.1984375,0,0,1,0,0,0,1,1,0,0,0,0,1
0,1,0.375,0.03875,0,0,0,0,0,1,0,0,0,1,0,0,1
0,0,0.6375,0.306896,1,0,0,0,0,0,0,0,1,0,1,0,0
1,1,0.5375,1.0566875,0,0,1,0,0,0,0,1,0,0,1,0,0
0,0,0.3125,0.09983349999999999,1,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0.225,0.0415,1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0.3125,0.04025,1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0.225,0.1010625,1,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0.45,0.065,1,0,0,0,0,1,0,1,0,0,0,1,0
1,1,0.35,0.12,0,0,1,0,0,0,0,0,1,0,0,1,0
0,0,0.825,0.0525,1,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0.45,0.039479,1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0.475,0.7673125000000001,1,0,0,0,0,0,0,1,0,0,1,0,0
1,1,0.5875,0.26277100000000003,0,0,1,0,0,0,0,1,0,0,1,0,0
1,1,0.4375,0.105,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0.625,0.27949999999999997,1,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0.35,0.0475,1,0,0,0,0,1,0,1,0,0,0,0,1
1,1,0.2875,0.03775,0,0,0,0,0,1,0,1,0,0,0,0,1
1,1,0.1875,0.072271,0,0,1,0,0,0,0,0,1,0,0,0,1
1,1,0.3,0.07925,0,0,1,0,0,0,0,1,0,0,0,0,1
1,1,0.675,0.297,0,0,1,0,0,0,0,0,1,0,1,0,0
0,1,0.4875,0.156375,0,0,1,0,0,0,1,1,0,0,0,0,1
0,0,0.3125,0.03875,1,0,0,0,0,1,0,0,0,1,0,0,1
0,0,0.3125,0.0725,1,0,0,0,0,1,0,1,0,0,0,0,1
1,1,0.275,0.03875,0,0,0,0,0,1,0,1,0,0,0,0,1
1,0,0.775,0.0525,1,0,0,0,0,1,0,1,0,0,0,1,0
1,1,0.45,0.6,0,0,1,0,0,0,0,1,0,0,1,0,0
1,0,1.0,0.15,1,0,0,0,0,1,0,1,0,0,1,0,0
0,0,0.4875,0.12075,1,0,0,0,0,1,0,1,0,0,0,0,1
1,0,0.0,0.145,0,0,0,1,0,0,0,1,0,0,0,1,0
0,0,0.3125,0.04025,1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0.375,0.04025,1,0,0,0,0,1,0,1,0,0,0,0,1
1,1,0.3625,0.13,0,0,1,0,0,0,0,1,0,0,0,1,0
0,0,0.375,0.13875,1,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0.3125,0.11725,1,0,0,0,0,0,0,1,0,0,0,0,1
1,1,0.2625,0.38979149999999996,0,0,0,0,0,1,0,1,0,0,1,0,0
0,0,0.8,1.315,1,0,0,0,0,0,1,1,0,0,1,0,0
1,1,0.55,0.289896,0,0,1,0,0,0,0,0,1,0,1,0,0
0,0,0.025,0.105375,0,0,0,1,0,0,0,1,0,0,0,0,1
0,0,0.3125,0.036125,1,0,0,0,0,1,0,0,1,0,0,0,1
1,1,0.4375,0.5544165,0,0,0,0,0,1,0,0,1,0,1,0,0
1,1,0.225,0.39825000000000005,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0.2,0.1984375,1,0,0,0,0,0,1,1,0,0,0,0,1
0,0,0.3125,0.065,1,0,0,0,0,1,0,1,0,0,0,1,0
1,1,0.3125,0.15,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0.2375,0.03375,1,0,0,0,0,1,0,0,0,1,0,0,1
1,0,0.3875,0.285,1,0,0,0,0,0,0,1,0,0,1,0,0
1,1,0.05,0.11012499999999999,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1,0.2125,0.0722915,0,0,0,0,0,1,0,0,1,0,0,0,1
0,0,0.3125,0.03875,1,0,0,0,0,1,0,0,0,1,0,0,1
0,0,0.3125,0.04025,1,0,0,0,0,1,0,1,0,0,0,0,1
1,1,0.4,0.065,0,0,1,0,0,1,0,1,0,0,0,1,0
1,1,0.275,0.03625,0,0,0,0,0,1,0,1,0,0,0,0,1
1,1,0.4875,0.27949999999999997,0,0,1,0,0,0,0,1,0,0,1,0,0
1,1,0.3,0.247521,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0.375,0.07525,1,0,0,0,0,1,0,0,1,0,0,1,0
0,1,0.5,0.047375,0,0,1,0,0,0,0,1,0,0,0,0,1
0,0,0.275,0.03625,1,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0.3125,0.207896,1,0,0,0,0,0,0,0,1,0,0,1,0
0,1,0.2625,0.1273335,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,0.075,0.062375,0,0,0,1,0,0,0,1,0,0,0,0,1
0,1,0.25,0.049124999999999995,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0.55,0.13,1,0,0,0,0,0,0,1,0,0,0,1,0
0,1,0.2625,0.04025,0,0,1,0,0,1,0,1,0,0,0,0,1
0,0,0.2625,0.3675,1,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0.225,0.5445,1,0,0,0,0,0,0,0,1,0,1,0,0
1,0,0.4,0.13,1,0,0,0,0,0,0,1,0,0,0,1,0
0,1,0.5125,0.1010625,0,0,1,0,0,0,0,1,0,0,0,0,1
1,1,0.2375,0.1314165,0,0,0,0,0,0,0,1,0,0,1,0,0
1,0,0.5,0.13275,1,0,0,0,0,1,0,1,0,0,1,0,0
1,1,0.05,0.0670835,0,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0.35,0.07200000000000001,0,0,1,0,0,0,0,1,0,0,0,0,1
1,0,0.2875,0.3167915,1,0,0,0,0,0,0,0,1,0,1,0,0
0,1,0.3625,0.052312500000000005,0,0,1,0,0,0,0,1,0,0,0,0,1
1,1,0.725,0.13275,0,0,0,0,0,1,0,1,0,0,1,0,0
0,0,0.5875,0.170104,1,0,0,0,0,1,0,1,0,0,1,0,0
1,1,0.525,0.065,0,0,1,0,0,1,0,1,0,0,0,1,0
0,0,0.7,0.13275,1,0,0,0,0,1,0,1,0,0,1,0,0
0,0,0.3,0.0525,1,0,0,0,0,1,0,1,0,0,0,1,0
1,1,0.0,0.09629149999999999,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,0.3,0.0725,0,0,1,0,0,0,0,1,0,0,0,1,0
1,1,0.2625,0.03875,0,0,0,0,0,1,0,0,0,1,0,0,1
0,0,0.7375,0.0675,1,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0.4875,0.065,1,0,0,0,0,1,0,1,0,0,0,1,0
1,1,0.2625,0.036125,0,0,1,0,0,1,0,0,1,0,0,0,1
0,0,0.3,0.039479,1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0.45,0.12075,1,0,0,0,0,0,0,1,0,0,0,0,1
1,0,0.0375,0.13,0,0,0,1,0,0,0,1,0,0,0,1,0
0,0,0.5625,0.1775,1,0,0,0,0,1,0,1,0,0,1,0,0
1,1,0.2625,0.03825,0,0,0,0,0,1,0,1,0,0,0,0,1
1,1,0.625,1.2376040000000001,0,0,1,0,0,0,0,0,1,0,1,0,0
0,0,0.65,0.0675,1,0,0,0,0,1,0,1,0,0,0,1,0
